https://fbref.com/en/comps/1/stats/World-Cup-Stats
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
135,Sebastian Berhalter,MF,us USA,25,1.us Vancouver,2001,5,1,187,2.1,1,1,2,1,0,0,1,0,0.48,0.48,0.96,0.48,0.96,Matches,f33ee427
136,Alexander Bernhardsson,MF,se Sweden,27,2.de Holstein Kiel,1998,3,3,217,2.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,dea1d183
137,Tyler Bindon,DF,nz New Zealand,21,2.eng Sheffield United,2005,3,1,97,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3575e5eb
138,César Blackman,MFDF,pa Panama,28,1.sk Slovan Bratislava,1998,2,2,178,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,c2b11050
139,Damián Bobadilla,MF,py Paraguay,24,1.br São Paulo,2001,4,2,189,2.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ad7d6437
140,Oscar Bobb,FW,no Norway,22,1.eng Fulham,2003,6,1,225,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,eed2427e
141,Moïse Bombito,DF,ca Canada,26,1.fr Nice,2000,3,2,193,2.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c2f23fc8
142,Theo Bongonda,FWMF,cd Congo DR,30,1.ru Spartak Moscow,1995,2,0,34,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0da6a13e
143,Ange-Yoan Bonny,FW,ci Côte d'Ivoire,22,1.it Inter,2003,4,3,234,2.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,64629ba4
144,Jordy Bos,MFDF,au Australia,23,1.nl Feyenoord,2002,4,4,308,3.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,8070a9fd
145,Ayyoub Bouaddi,MF,ma Morocco,18,1.fr Lille,2007,5,5,381,4.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8006228f
146,Hicham Boudaoui,MF,dz Algeria,26,1.fr Nice,1999,3,2,128,1.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,f9d5908e
147,Karim Boudiaf,MF,qa Qatar,35,1.qa Al Duhail SC,1990,2,1,102,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a38f33fd
148,Adil Boulbina,FW,dz Algeria,23,1.qa Al Duhail SC,2003,2,0,19,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,12f7f264
149,Yassine Bounou,GK,ma Morocco,35,1.sa Al-Hilal,1991,6,6,570,6.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f6798fc3
150,Nawaf Boushal,DF,sa Saudi Arabia,26,1.sa Al-Nassr,1999,2,1,91,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7dc1c2c6
151,Michael Boxall,DF,nz New Zealand,37,1.us Minnesota Utd,1988,3,2,207,2.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6bfa0d3a
152,Sultan Al-Brake,DF,qa Qatar,30,1.qa Al Duhail SC,1996,2,1,141,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fcaa2400
153,Joshua Brenet,DF,cw Curaçao,32,1.tr Kayserispor,1994,2,2,179,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2b5527c4
154,Brian Brobbey,FW,nl Netherlands,24,1.eng Sunderland,2002,4,3,223,2.5,3,0,3,3,0,0,0,0,1.21,0.00,1.21,1.21,1.21,Matches,4c184730
155,Dylan Bronn,DF,tn Tunisia,30,1.ch Servette FC,1995,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,edd81e2a
156,Nathaniel Brown,DF,de Germany,22,1.de Frankfurt,2003,3,3,282,3.1,1,1,2,1,0,0,0,0,0.32,0.32,0.64,0.32,0.64,Matches,abc79c47
157,Tajon Buchanan,MF,ca Canada,27,1.es Villarreal,1999,5,5,376,4.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3aca6420
158,Ante Budimir,FW,hr Croatia,34,1.es Osasuna,1991,3,2,155,1.7,1,0,1,1,0,0,0,0,0.58,0.00,0.58,0.58,0.58,Matches,8f3565b3
159,Firas Al-Buraikan,FW,sa Saudi Arabia,26,1.sa Al-Ahli,2000,3,3,238,2.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,ac717a23
160,Cameron Burgess,DF,au Australia,30,2.eng Swansea City,1995,2,2,135,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,da61ca98
161,Dan Burn,DF,eng England,34,1.eng Newcastle,1992,3,0,35,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b2d31e83
162,Dženis Burnić,MF,ba Bosnia–Herz,28,2.de Karlsruher,1998,2,0,16,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0dabaf14
163,Gustavo Caballero,FWMF,py Paraguay,24,2.eng Portsmouth,2001,2,0,96,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,90a38ca7
164,Jovane Cabral,FW,cv Cabo Verde,28,1.pt Estrela,1998,2,2,139,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e34e086c
165,Liberato Cacace,DF,nz New Zealand,25,2.eng Wrexham,2000,3,3,220,2.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,dd86e8e4
166,Juan Cáceres,DF,py Paraguay,26,1.ru Dynamo Moskva,2000,5,5,436,4.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,db887bdf
167,Sebastián Cáceres,DF,uy Uruguay,26,1.mx América,1999,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7091c68e
168,Jordy Caicedo,FW,ec Ecuador,28,1.ar Huracán,1997,3,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7fcb27d8
169,Moisés Caicedo,MF,ec Ecuador,24,1.eng Chelsea,2001,4,4,360,4.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,16264a81
170,Uğurcan Çakır,GK,tr Türkiye,30,1.tr Galatasaray,1996,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f63a8347
171,Hakan Çalhanoğlu,MF,tr Türkiye,32,1.it Inter,1994,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,cd0fa27b
172,Lamine Camara,MF,sn Senegal,22,1.fr Monaco,2004,4,3,248,2.8,0,1,1,0,0,0,1,0,0.00,0.36,0.36,0.00,0.36,Matches,19c2ffa4
173,Jaminton Campaz,FWMF,co Colombia,26,1.ar Rosario Central,2000,3,0,75,0.8,1,0,1,1,0,0,0,0,1.20,0.00,1.20,1.20,1.20,Matches,8d5ceef2
174,İrfan Can Kahveci,MF,tr Türkiye,30,1.tr Kasımpaşa,1995,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d2800f47
175,José Canale,DF,py Paraguay,29,1.ar Lanús,1996,4,1,161,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,97d24b73
176,João Cancelo,DF,pt Portugal,32,1.es Barcelona,1994,5,5,312,3.5,0,1,1,0,0,0,0,0,0.00,0.29,0.29,0.00,0.29,Matches,bd6351cd
177,Agustín Canobbio,FW,uy Uruguay,27,1.br Fluminense,1998,3,2,224,2.5,1,0,1,1,0,0,0,1,0.40,0.00,0.40,0.40,0.40,Matches,4f5a2f38
178,Casemiro,MF,br Brazil,34,1.eng Manchester Utd,1992,5,5,379,4.2,1,0,1,1,0,0,2,0,0.24,0.00,0.24,0.24,0.24,Matches,4d224fe8
179,Josué Casimir,MF,ht Haiti,24,1.fr Auxerre,2001,3,2,182,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,481f76cf
180,Timothy Castagne,DF,be Belgium,30,1.eng Fulham,1995,6,5,478,5.3,0,1,1,0,0,0,1,0,0.00,0.19,0.19,0.00,0.19,Matches,197640fd
181,Kevin Castaño,MF,co Colombia,25,1.ar River Plate,2000,2,0,16,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c393c3d9
182,Jens Castrop,MF,kr Korea Republic,22,1.de Gladbach,2003,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,03fee7de
183,Zeki Çelik,DF,tr Türkiye,29,1.it Roma,1997,2,2,163,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,31a62dc7
184,Lukáš Červ,MF,cz Czechia,25,1.cz Viktoria Plzeň,2001,2,2,163,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,bb4a41bc
185,Fares Chaïbi,MF,dz Algeria,23,1.de Frankfurt,2002,4,4,360,4.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,357103bd
186,Trevoh Chalobah,DFMF,eng England,26,1.eng Chelsea,1999,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5515376c
187,Štěpán Chaloupek,DF,cz Czechia,23,1.cz Slavia Prague,2003,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ded82b9a
188,Mouhib Chamakh,GK,tn Tunisia,24,1.tn Club Africain,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9627f87b
189,Firas Chaouat,FW,tn Tunisia,30,1.tn Club Africain,1996,3,0,49,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7fa8ef98
190,Luis Chávez,MF,mx Mexico,30,1.ru Dynamo Moskva,1996,1,0,25,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e50949ea
191,Mateo Chávez,DF,mx Mexico,22,1.nl AZ Alkmaar,2004,1,1,77,0.9,1,0,1,1,0,0,0,0,1.17,0.00,1.17,1.17,1.17,Matches,f82246a1
192,Samir Chergui,DF,dz Algeria,27,1.fr Paris FC,1999,1,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4b6ab1da
193,Rayan Cherki,MF,fr France,22,1.eng Manchester City,2003,7,1,130,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b34c63a5
194,Mathieu Choinière,MF,ca Canada,27,1.us LAFC,1999,1,1,57,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,017459bb
195,Tahith Chong,MF,cw Curaçao,26,2.eng Sheffield United,1999,3,3,247,2.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2696b6a9
196,Tomáš Chorý,FW,cz Czechia,31,1.cz Slavia Prague,1995,2,0,31,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,163bbd4a
197,Ryan Christie,MF,sct Scotland,31,1.eng Bournemouth,1995,3,1,95,1.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,26ce2263
198,Carney Chukwuemeka,MF,at Austria,22,1.de Dortmund,2003,3,0,83,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b2f9c73e
199,Mojmír Chytil,FW,cz Czechia,27,1.cz Slavia Prague,1999,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,01a08323
200,Brian Cipenga,MFFW,cd Congo DR,28,2.es Castellón,1998,2,2,146,1.6,1,0,1,1,0,0,0,0,0.62,0.00,0.62,0.62,0.62,Matches,e4787d6f
201,Alessandro Circati,DF,au Australia,22,1.it Parma,2003,4,4,390,4.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,1223765c
202,Pathé Ciss,DF,sn Senegal,32,1.es Rayo Vallecano,1994,4,1,184,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9a0408b6
203,Livano Comenencia,MF,cw Curaçao,22,1.ch Zürich,2004,3,3,233,2.6,1,0,1,1,0,0,1,0,0.39,0.00,0.39,0.39,0.39,Matches,c9d96dc1
204,Eray Cömert,DF,ch Switzerland,28,1.es Valencia,1998,1,0,31,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,15937e17
205,Francisco Conceição,MF,pt Portugal,23,1.it Juventus,2002,4,0,126,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5ef3d210
206,Jhon Córdoba,FW,co Colombia,33,1.ru Krasnodar,1993,3,2,99,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9f381d8b
207,José Córdoba,DF,pa Panama,25,2.eng Norwich City,2001,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,bec98750
208,Derek Cornelius,DF,ca Canada,28,1.fr Marseille,1997,4,4,315,3.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,577744b8
209,Diogo Costa,GK,pt Portugal,26,1.pt Porto,1999,5,5,450,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,93fffbcf
210,Nuno da Costa,FW,cv Cabo Verde,35,1.tr Başakşehir,1991,4,1,159,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,909222de
211,Samu Costa,MF,pt Portugal,25,1.es Mallorca,2000,1,0,21,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,76c2a023
212,Vladimír Coufal,MFDF,cz Czechia,33,1.de Hoffenheim,1992,3,3,270,3.0,0,1,1,0,0,0,0,0,0.00,0.33,0.33,0.00,0.33,Matches,fdf3cb77
213,Thibaut Courtois,GK,be Belgium,34,1.es Real Madrid,1992,6,6,550,6.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1840e36d
214,Maxime Crépeau,GK,ca Canada,32,1.us Orlando City,1994,5,5,450,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ea42e480
215,Max Crocombe,GK,nz New Zealand,32,2.eng Millwall,1993,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fdf47077
216,Pau Cubarsí,DF,es Spain,19,1.es Barcelona,2007,8,8,750,8.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,cc7888f3
217,Andrés Cubas,MF,py Paraguay,30,1.us Vancouver,1996,5,5,480,5.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,9b40a6ea
218,Cucho,FWMF,co Colombia,27,1.es Real Betis,1999,2,0,50,0.6,0,1,1,0,0,0,0,0,0.00,1.80,1.80,0.00,1.80,Matches,71b47ab9
219,Marc Cucurella,DF,es Spain,27,1.eng Chelsea,1998,8,8,750,8.3,0,2,2,0,0,0,1,0,0.00,0.24,0.24,0.00,0.24,Matches,1daec722
220,Matheus Cunha,FW,br Brazil,27,1.eng Manchester Utd,1999,5,4,290,3.2,3,0,3,3,0,0,0,0,0.93,0.00,0.93,0.93,0.93,Matches,dc62b55d
221,Findlay Curtis,MF,sct Scotland,19,1.sct Kilmarnock,2006,2,0,9,0.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,e2a68b89
222,Aymen Dahmen,GK,tn Tunisia,29,1.tn Ahly Sfaxien,1997,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8bf49030
223,Diogo Dalot,DFMF,pt Portugal,27,1.eng Manchester Utd,1999,2,0,65,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d9565625
224,Danilo,DF,br Brazil,34,1.br Flamengo,1991,5,4,405,4.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,94b2001f
225,Kevin Danso,DF,at Austria,27,1.eng Tottenham,1998,4,2,241,2.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6e33125f
226,Vladimír Darida,MF,cz Czechia,35,1.cz Hradec Králové,1990,1,1,54,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3eb0f2df
227,Jonathan David,FW,ca Canada,26,1.it Juventus,2000,5,5,420,4.7,3,0,3,3,0,0,1,0,0.64,0.00,0.64,0.64,0.64,Matches,ce50fd99
228,Promise David,FW,ca Canada,24,1.be Union SG,2001,4,0,80,0.9,1,1,2,1,0,0,0,0,1.13,1.13,2.25,1.13,2.25,Matches,dbe19468
229,Alphonso Davies,DFFW,ca Canada,25,1.de Bayern Munich,2000,1,0,16,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d781d855
230,Erick Davis,DF,pa Panama,35,1.pa Plaza Amador,1991,2,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2ffb0739
231,Nasser Al-Dawsari,MF,sa Saudi Arabia,27,1.sa Al-Hilal,1998,3,2,207,2.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,7709e4a6
232,Salem Al-Dawsari,MF,sa Saudi Arabia,34,1.sa Al-Hilal,1991,3,3,245,2.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,60ee859c
233,Mohammad Al-Dawud,FWMF,jo Jordan,34,1.jo Al-Wehdat SC,1992,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e645c3fc
234,Kevin De Bruyne,MF,be Belgium,34,1.it Napoli,1991,5,5,382,4.2,1,0,1,1,0,0,1,0,0.24,0.00,0.24,0.24,0.24,Matches,e46012d4
235,Maxim De Cuyper,DF,be Belgium,25,1.eng Brighton,2000,6,5,442,4.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,d494882e
236,Luc De Fougerolles,DF,ca Canada,20,1.eng Fulham,2005,5,4,372,4.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,45c427ff
237,Charles De Ketelaere,FWMF,be Belgium,25,1.it Atalanta,2001,5,5,350,3.9,3,1,4,3,0,0,0,0,0.77,0.26,1.03,0.77,1.03,Matches,2ef7c612
238,Nicolás De La Cruz,MF,uy Uruguay,29,1.br Flamengo,1997,3,0,86,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,8fda5c72
239,Rodrigo De Paul,MF,ar Argentina,32,1.us Inter Miami,1994,7,6,491,5.5,0,1,1,0,0,0,1,0,0.00,0.18,0.18,0.00,0.18,Matches,162efffd
240,Amar Dedić,DF,ba Bosnia–Herz,23,1.pt Benfica,2002,3,3,270,3.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,bc6e544a
241,Louicius Deedson,MF,ht Haiti,25,1.us FC Dallas,2001,3,1,112,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f7059bb1
242,Hannes Delcroix,DF,ht Haiti,27,1.ch Lugano,1999,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b737f944
243,Ousmane Dembélé,MF,fr France,29,1.fr PSG,1997,8,7,592,6.6,6,2,8,6,0,0,0,0,0.91,0.30,1.22,0.91,1.22,Matches,b19db005
244,Merih Demiral,DF,tr Türkiye,28,1.sa Al-Ahli,1998,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e3cceee6
245,Ermedin Demirović,FW,ba Bosnia–Herz,28,1.de Stuttgart,1998,4,4,354,3.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,ed79b7d3
246,Sergiño Dest,MF,us USA,25,1.nl PSV,2000,5,4,297,3.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5976f83e
247,Frans Dhia Putros,DF,iq Iraq,32,1.id Persib Bandung,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0102aa7e
248,Oumar Diakité,FW,ci Côte d'Ivoire,22,1.be Cercle Brugge,2003,2,0,28,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,44435c8f
249,Amad Diallo,MFFW,ci Côte d'Ivoire,23,1.eng Manchester Utd,2002,4,2,185,2.1,2,0,2,2,0,0,0,0,0.97,0.00,0.97,0.97,0.97,Matches,9dc96f10
250,Assane Diao,MF,sn Senegal,20,1.it Como,2005,1,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8ae7d0ec
251,Habib Diarra,MF,sn Senegal,22,1.eng Sunderland,2004,3,2,143,1.6,2,0,2,2,0,0,0,0,1.26,0.00,1.26,1.26,1.26,Matches,6d0fe035
252,Rúben Dias,DF,pt Portugal,29,1.eng Manchester City,1997,4,4,360,4.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,31c69ef1
253,Krépin Diatta,DF,sn Senegal,27,1.fr Monaco,1999,4,4,390,4.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8104e41e
254,Mory Diaw,GK,sn Senegal,32,1.fr Le Havre,1993,3,2,238,2.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f41a69e6
255,Brahim Díaz,MF,ma Morocco,26,1.es Real Madrid,1999,6,6,457,5.1,0,4,4,0,0,0,0,0,0.00,0.79,0.79,0.00,0.79,Matches,407feb71
256,Ismael Díaz,FWMF,pa Panama,29,1.mx León,1997,2,0,37,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f2a276d1
257,Luis Díaz,FWMF,co Colombia,29,1.de Bayern Munich,1997,5,5,478,5.3,1,1,2,1,0,0,0,0,0.19,0.19,0.38,0.19,0.38,Matches,4a1a9578
258,Bamba Dieng,FW,sn Senegal,26,1.fr Lorient,2000,1,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,40774c6b
259,Lucas Digne,DF,fr France,32,1.eng Aston Villa,1993,6,5,463,5.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1b84dbe1
260,Diney,DF,cv Cabo Verde,31,1.ae Al Bataeh,1995,4,4,390,4.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,d2e33ba2
261,Ousmane Diomande,DF,ci Côte d'Ivoire,22,1.pt Sporting CP,2003,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,394be156
262,Yan Diomandé,MFFW,ci Côte d'Ivoire,19,1.de RB Leipzig,2006,4,4,329,3.7,0,1,1,0,0,0,0,0,0.00,0.27,0.27,0.00,0.27,Matches,919f5f54
263,Issa Diop,DF,ma Morocco,29,1.eng Fulham,1997,5,5,476,5.3,1,0,1,1,0,0,3,0,0.19,0.00,0.19,0.19,0.19,Matches,a712ca2b
264,El Hadji Malick Diouf,DF,sn Senegal,21,1.eng West Ham,2004,3,2,171,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,bd5eb2e5
265,Ritsu Doan,MF,jp Japan,27,1.de Frankfurt,1998,4,4,278,3.1,0,1,1,0,0,0,0,0,0.00,0.32,0.32,0.00,0.32,Matches,d01bbb6f
266,Jeremy Doku,MF,be Belgium,24,1.eng Manchester City,2002,5,4,309,3.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fffea3e5
267,Merchas Doski,DF,iq Iraq,26,1.cz Viktoria Plzeň,1999,3,3,270,3.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,fdf4cfe5
268,David Douděra,MF,cz Czechia,28,1.cz Slavia Prague,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e95b4604
269,Désiré Doué,MF,fr France,21,1.fr PSG,2005,8,4,400,4.4,1,1,2,1,0,0,0,0,0.23,0.23,0.45,0.23,0.45,Matches,9e7483ff
270,Guéla Doué,DF,ci Côte d'Ivoire,23,1.fr Strasbourg,2002,4,3,277,3.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,b4ef3fb5
271,Deroy Duarte,MF,cv Cabo Verde,26,1.bg Ludogorets,1999,4,2,264,2.9,1,0,1,1,0,0,0,0,0.34,0.00,0.34,0.34,0.34,Matches,6af8fc5b
272,Laros Duarte,MF,cv Cabo Verde,29,1.hu Puskás Akad.,1997,4,2,166,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4af3d3c8
273,Denzel Dumfries,DFMF,nl Netherlands,30,1.it Inter,1996,4,4,390,4.3,0,2,2,0,0,0,0,0,0.00,0.46,0.46,0.00,0.46,Matches,481c9ece
274,Jean-Kevin Duverne,DF,ht Haiti,28,1.be Gent,1997,2,2,169,1.9,0,1,1,0,0,0,0,0,0.00,0.53,0.53,0.00,0.53,Matches,0cbc8baa
275,Lyndon Dykes,FWMF,sct Scotland,30,2.eng Charlton Athletic,1995,2,0,36,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,cd92357a
276,Edin Džeko,FW,ba Bosnia–Herz,40,2.de Schalke 04,1986,3,3,176,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,3bb7f478
277,Roshon van Eijma,DF,cw Curaçao,28,2.nl RKC Waalwijk,1998,1,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,130368de
278,Anthony Elanga,MFFW,se Sweden,24,1.eng Newcastle,2002,4,2,217,2.4,2,0,2,2,0,0,0,0,0.83,0.00,0.83,0.83,0.83,Matches,2fba6108
279,Meschak Elia,FWMF,cd Congo DR,28,1.tr Alanyaspor,1997,2,0,46,0.5,0,1,1,0,0,0,0,0,0.00,1.96,1.96,0.00,1.96,Matches,5d51b074
280,Callan Elliot,DF,nz New Zealand,26,1.au Auckland FC,1999,1,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9d6968a3
