https://fbref.com/en/comps/1/stats/World-Cup-Stats
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
31,Kristoffer Ajer,DF,no Norway,28,1.eng Brentford,1998,5,5,480,5.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,a8c0acb7
32,Manuel Akanji,DF,ch Switzerland,30,1.it Inter,1995,6,6,600,6.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,89ac64a6
33,Nathan Aké,DF,nl Netherlands,31,1.eng Manchester City,1995,3,2,170,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,eaeca114
34,Yunus Akgün,MF,tr Türkiye,25,1.tr Galatasaray,2000,2,1,88,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,1453e3cf
35,Maghnes Akliouche,MF,fr France,24,1.fr Monaco,2002,1,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b625b241
36,Kerem Aktürkoğlu,FW,tr Türkiye,27,1.tr Fenerbahçe,1998,2,2,129,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f28659fb
37,Ahmed Alaaeldin,FW,qa Qatar,33,1.qa Al Rayyan SC,1993,2,0,43,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,74fbbb3c
38,David Alaba,DF,at Austria,33,1.es Real Madrid,1992,4,4,275,3.1,0,1,1,0,0,0,0,0,0.00,0.33,0.33,0.00,0.33,Matches,05439de2
39,Kerim Alajbegović,MF,ba Bosnia–Herz,18,1.at RB Salzburg,2007,4,3,277,3.1,1,0,1,1,0,0,0,0,0.32,0.00,0.32,0.32,0.32,Matches,f3d9291e
40,Jordy Alcivar,MF,ec Ecuador,26,1.ec Independiente,1999,1,1,45,0.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,6e98c19f
41,Omar Alderete,DF,py Paraguay,29,1.eng Sunderland,1996,4,4,320,3.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,bb08bce9
42,Almoez Ali,FW,qa Qatar,29,1.qa Al Duhail SC,1996,1,0,19,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,bae045a9
43,Hussein Ali,DF,iq Iraq,24,1.pl Pogoń Szczecin,2002,2,2,162,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b8a919ad
44,Mohanad Ali,FW,iq Iraq,25,1.ae Dibba Al Fujairah,2000,1,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f929049b
45,Taha Ali,FWMF,se Sweden,27,1.se Malmö,1998,2,0,37,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,da4b8a4e
