https://fbref.com/en/comps/1/shooting/World-Cup-Stats
,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,-additional
Rk,Player,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,-9999
290,Stephen Eustáquio,MF,ca Canada,29,1996,4.4,1,4,1,25.0,0.92,0.23,0.25,1.00,0,0,Matches,577efaec
291,Martin Expérience,DFMF,ht Haiti,27,1999,3.0,0,1,0,0.0,0.33,0.00,0.00,,0,0,Matches,9edb83f4
292,Saeid Ezatolahi,MF,ir IR Iran,29,1996,2.9,0,6,2,33.3,2.05,0.68,0.00,0.00,0,0,Matches,314d95ac
293,Eberechi Eze,MF,eng England,27,1998,2.3,0,5,0,0.0,2.13,0.00,0.00,,0,0,Matches,ae4fc6a4
294,Fabinho,DFMF,br Brazil,32,1993,0.8,0,1,0,0.0,1.27,0.00,0.00,,0,0,Matches,7f3b388c
295,José Fajardo,FW,pa Panama,32,1993,1.7,0,1,0,0.0,0.58,0.00,0.00,,0,0,Matches,682e47b3
296,Odeh Al-Fakhouri,MFFW,jo Jordan,20,2005,1.6,0,2,1,50.0,1.22,0.61,0.00,0.00,0,0,Matches,30591ae5
297,Henrik Falchener,DF,no Norway,23,2003,0.7,0,0,0,,0.00,0.00,,,0,0,Matches,57fe6b9b
298,Marko Farji,MF,iq Iraq,22,2004,0.6,0,0,0,,0.00,0.00,,,0,0,Matches,e046cff6
299,Christian Fassnacht,FWMF,ch Switzerland,32,1993,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,0aeeed3f
300,Abdul Fatawu Issahaku,FWMF,gh Ghana,22,2004,1.5,0,3,0,0.0,2.05,0.00,0.00,,0,0,Matches,bceda5ff
301,Ahmed Fathy,MF,qa Qatar,33,1993,1.7,0,0,0,,0.00,0.00,,,0,0,Matches,f2369793
302,Hamdy Fathy,DFMF,eg Egypt,31,1994,2.6,0,0,0,,0.00,0.00,,,0,0,Matches,c8ef4955
303,Ahmed Fatouh,DF,eg Egypt,28,1998,3.0,0,1,1,100.0,0.34,0.34,0.00,0.00,0,0,Matches,de13286d
304,Abbosbek Fayzullayev,MF,uz Uzbekistan,22,2003,2.4,1,3,2,66.7,1.23,0.82,0.33,0.50,0,0,Matches,ef1d36a1
305,João Félix,MF,pt Portugal,26,1999,2.2,0,6,1,16.7,2.69,0.45,0.00,0.00,0,0,Matches,8aafd64f
306,Lewis Ferguson,MF,sct Scotland,26,1999,3.0,0,2,1,50.0,0.67,0.33,0.00,0.00,0,0,Matches,ee64a822
307,Bruno Fernandes,MF,pt Portugal,31,1994,4.7,0,9,3,33.3,1.92,0.64,0.00,0.00,0,0,Matches,507c7bdf
308,Enzo Fernández,MF,ar Argentina,25,2001,7.3,2,12,4,33.3,1.64,0.55,0.17,0.50,0,0,Matches,5ff4ab71
309,Matias Fernandez-Pardo,FWMF,be Belgium,21,2005,0.5,0,3,0,0.0,6.14,0.00,0.00,,0,0,Matches,0cdb6a2a
310,Álvaro Fidalgo,MF,mx Mexico,29,1997,1.1,1,3,2,66.7,2.81,1.87,0.33,0.50,0,0,Matches,c705cdc4
311,Sherel Floranus,DF,cw Curaçao,27,1998,3.0,0,2,0,0.0,0.67,0.00,0.00,,0,0,Matches,5ad49fbb
312,Seko Fofana,MF,ci Côte d'Ivoire,31,1995,1.0,0,5,1,20.0,4.89,0.98,0.00,0.00,0,0,Matches,5313ed43
313,Yahia Fofana,GK,ci Côte d'Ivoire,25,2000,4.0,0,0,0,,0.00,0.00,,,0,0,Matches,9d420dad
314,Deveron Fonville,DF,cw Curaçao,23,2003,2.7,0,0,0,,0.00,0.00,,,0,0,Matches,21932982
315,Yassin Fortuné,FWMF,ht Haiti,27,1999,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,ddcc9e22
316,Lyle Foster,FW,za South Africa,25,2000,0.6,0,1,0,0.0,1.64,0.00,0.00,,0,0,Matches,f84a807c
317,Alan Franco,DF,ec Ecuador,27,1998,2.8,0,0,0,,0.00,0.00,,,0,0,Matches,c76b161b
318,Alex Freeman,DF,us USA,21,2004,4.2,1,4,1,25.0,0.96,0.24,0.25,1.00,0,0,Matches,754f150b
319,Matt Freese,GK,us USA,27,1998,4.0,0,0,0,,0.00,0.00,,,0,0,Matches,2f49476c
320,Remo Freuler,MF,ch Switzerland,34,1992,6.6,0,2,1,50.0,0.30,0.15,0.00,0.00,0,0,Matches,98d2c2c4
321,Marco Friedl,DF,at Austria,28,1998,0.3,0,0,0,,0.00,0.00,,,0,0,Matches,f86ad3f5
322,Juriën Gaari,DF,cw Curaçao,32,1993,1.8,0,2,0,0.0,1.08,0.00,0.00,,0,0,Matches,bf7a9d1a
323,Jassem Gaber,MF,qa Qatar,24,2002,1.7,0,0,0,,0.00,0.00,,,0,0,Matches,af9ef8aa
324,Cody Gakpo,FW,nl Netherlands,27,1999,4.1,3,10,6,60.0,2.45,1.47,0.30,0.50,0,0,Matches,1971591f
325,Matías Galarza,MF,py Paraguay,24,2002,4.3,1,2,1,50.0,0.46,0.23,0.50,1.00,0,0,Matches,8e97a57b
326,Hernán Galíndez,GK,ec Ecuador,39,1987,4.0,0,0,0,,0.00,0.00,,,0,0,Matches,89c136f6
327,Jesús Gallardo,DF,mx Mexico,31,1994,4.1,0,4,0,0.0,0.97,0.00,0.00,,0,0,Matches,d0846b6c
328,Ahmed Al-Ganehi,FW,qa Qatar,25,2000,0.4,0,1,0,0.0,2.50,0.00,0.00,,0,0,Matches,efcf04d2
329,Ben Gannon-Doak,MF,sct Scotland,20,2005,2.1,0,4,0,0.0,1.94,0.00,0.00,,0,0,Matches,733f1a7d
330,Eric García,DFMF,es Spain,25,2001,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,2bed3eab
331,Gavi,FW,es Spain,21,2004,0.8,0,1,0,0.0,1.18,0.00,0.00,,0,0,Matches,19cae58d
332,Jason Geria,DF,au Australia,33,1993,0.7,0,0,0,,0.00,0.00,,,0,0,Matches,cd494a8d
333,Khalid Al Ghannam,MF,sa Saudi Arabia,25,2000,0.0,0,0,0,,0.00,0.00,,,0,0,Matches,c16843c7
334,Ismaël Gharbi,MF,tn Tunisia,22,2004,1.4,0,3,0,0.0,2.13,0.00,0.00,,0,0,Matches,5b3cfa12
335,Mehdi Ghayedi,FW,ir IR Iran,27,1998,0.5,0,1,0,0.0,2.00,0.00,0.00,,0,0,Matches,b6c90b4b
336,Farés Ghedjemis,FWMF,dz Algeria,23,2002,0.0,0,0,0,,0.00,0.00,,,0,0,Matches,14aac43e
337,Saman Ghoddos,MF,ir IR Iran,32,1993,2.3,0,4,0,0.0,1.73,0.00,0.00,,0,0,Matches,f7b1d4e0
338,Mohammad Ghorbani,MF,ir IR Iran,25,2001,1.0,0,2,1,50.0,2.00,1.00,0.00,0.00,0,0,Matches,4a078e18
339,Lee Gi-hyuk,DF,kr Korea Republic,25,2000,3.0,0,0,0,,0.00,0.00,,,0,0,Matches,18c8c3c7
340,Armin Gigovic,MF,ba Bosnia–Herz,24,2002,0.9,0,0,0,,0.00,0.00,,,0,0,Matches,d0a0858e
341,Orlando Gill,GK,py Paraguay,26,2000,5.3,0,0,0,,0.00,0.00,,,0,0,Matches,0d425331
342,Santiago Giménez,FW,mx Mexico,25,2001,1.0,0,2,1,50.0,2.09,1.05,0.00,0.00,0,0,Matches,37337aea
343,Aníbal Godoy,MF,pa Panama,36,1990,0.0,0,0,0,,0.00,0.00,,,0,0,Matches,2d496ca3
344,Andrés Gómez,MF,co Colombia,23,2002,0.0,0,0,0,,0.00,0.00,,,0,0,Matches,76a82373
345,Diego Gómez,MF,py Paraguay,23,2003,3.4,0,6,0,0.0,1.78,0.00,0.00,,0,0,Matches,916728da
346,Gustavo Gómez,DF,py Paraguay,33,1993,5.3,0,2,0,0.0,0.37,0.00,0.00,,0,0,Matches,d5ce52a5
347,Armando González,FW,mx Mexico,23,2003,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,1278bc9a
348,Nicolás González,MF,ar Argentina,28,1998,2.9,0,7,1,14.3,2.43,0.35,0.00,0.00,0,0,Matches,2374aaca
349,Anthony Gordon,MF,eng England,25,2001,4.4,1,6,4,66.7,1.36,0.91,0.17,0.25,0,0,Matches,2bd83368
350,Leon Goretzka,MF,de Germany,31,1995,1.1,0,2,0,0.0,1.82,0.00,0.00,,0,0,Matches,cc86b9a3
351,Kenji Gorré,FWMF,cw Curaçao,31,1994,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,52d1a4c6
352,Keisuke Gotō,FW,jp Japan,21,2005,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,82a2ca86
353,Amine Gouiri,FW,dz Algeria,26,2000,2.8,1,3,2,66.7,1.08,0.72,0.33,0.50,0,0,Matches,aad56ca3
354,Ryan Gravenberch,MF,nl Netherlands,24,2002,3.8,0,5,0,0.0,1.30,0.00,0.00,,0,0,Matches,b8e740fb
355,Michael Gregoritsch,FW,at Austria,32,1994,2.1,0,1,0,0.0,0.48,0.00,0.00,,0,0,Matches,8e235926
356,Florian Grillitsch,DFMF,at Austria,30,1995,1.0,0,0,0,,0.00,0.00,,,0,0,Matches,ffbbc83b
357,Pascal Groß,DFMF,de Germany,34,1991,0.2,0,1,0,0.0,5.00,0.00,0.00,,0,0,Matches,8aec0537
358,Gabriel Gudmundsson,MFDF,se Sweden,27,1999,3.7,0,0,0,,0.00,0.00,,,0,0,Matches,d5d22a58
359,Cho Gue-sung,FW,kr Korea Republic,28,1998,0.3,0,2,1,50.0,5.81,2.90,0.00,0.00,0,0,Matches,ccfa8e5e
360,Marc Guéhi,DF,eng England,25,2000,7.4,0,1,0,0.0,0.14,0.00,0.00,,0,0,Matches,d0706b27
361,Evann Guessand,FWMF,ci Côte d'Ivoire,24,2001,0.2,0,1,0,0.0,5.29,0.00,0.00,,0,0,Matches,b73f17f8
362,Idrissa Gueye,MF,sn Senegal,36,1989,4.0,0,5,1,20.0,1.25,0.25,0.00,0.00,0,0,Matches,72c812f3
363,Pape Gueye,MF,sn Senegal,27,1999,2.6,2,8,3,37.5,3.08,1.15,0.25,0.67,0,0,Matches,7155e3e1
364,Bruno Guimarães,MF,br Brazil,28,1997,4.6,0,8,2,25.0,1.73,0.43,0.00,0.00,0,1,Matches,82518f62
365,Deniz Gül,FW,tr Türkiye,21,2004,0.4,0,2,1,50.0,4.86,2.43,0.00,0.00,0,0,Matches,f0fb443e
366,Arda Güler,MF,tr Türkiye,21,2005,3.0,1,12,4,33.3,4.00,1.33,0.08,0.25,0,0,Matches,3741ca58
367,Angus Gunn,GK,sct Scotland,30,1996,3.0,0,0,0,,0.00,0.00,,,0,0,Matches,e082af5b
368,Malo Gusto,DF,fr France,23,2003,1.3,0,0,0,,0.00,0.00,,,0,0,Matches,d56b9520
369,Brian Gutiérrez,MF,mx Mexico,22,2003,2.2,0,6,0,0.0,2.73,0.00,0.00,,0,0,Matches,d88f31db
370,Jorge Gutiérrez,DF,pa Panama,27,1998,1.0,0,0,0,,0.00,0.00,,,0,0,Matches,56f6d192
371,Joško Gvardiol,DF,hr Croatia,24,2002,1.5,0,1,0,0.0,0.65,0.00,0.00,,0,0,Matches,5ad50391
372,Viktor Gyökeres,FW,se Sweden,28,1998,4.0,1,12,6,50.0,3.00,1.50,0.08,0.17,0,0,Matches,4d5a9185
373,Aziz Gʻaniyev,MF,uz Uzbekistan,28,1998,1.4,0,1,0,0.0,0.74,0.00,0.00,,0,0,Matches,0c492054
374,Erling Haaland,FW,no Norway,25,2000,5.2,7,20,13,65.0,3.87,2.52,0.35,0.54,0,0,Matches,1f44ac21
375,Ihsan Haddad,DF,jo Jordan,32,1994,2.9,0,1,0,0.0,0.35,0.00,0.00,,0,0,Matches,85660a5d
376,Anis Hadj Moussa,MF,dz Algeria,24,2002,1.1,0,2,0,0.0,1.84,0.00,0.00,,0,0,Matches,7bc7eef2
377,Jaouen Hadjam,DF,dz Algeria,23,2003,1.2,0,1,0,0.0,0.83,0.00,0.00,,0,0,Matches,576817b7
378,Amir Hadžiahmetović,MF,ba Bosnia–Herz,29,1997,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,e8213ed3
379,Dennis Hadžikadunić,DF,ba Bosnia–Herz,27,1998,0.3,0,0,0,,0.00,0.00,,,0,0,Matches,82cfae2a
380,Karim Hafez,DF,eg Egypt,30,1996,1.9,0,1,0,0.0,0.52,0.00,0.00,,0,0,Matches,d2debf23
381,Ehsan Hajsafi,DF,ir IR Iran,36,1990,1.0,0,1,0,0.0,0.99,0.00,0.00,,0,0,Matches,b060e3b8
382,Achraf Hakimi,DF,ma Morocco,27,1998,6.3,1,14,4,28.6,2.21,0.63,0.07,0.25,0,0,Matches,e42d61c7
383,Redouane Halhal,DF,ma Morocco,23,2003,2.0,0,0,0,,0.00,0.00,,,0,0,Matches,e17c2cec
384,Ali Al Hamadi,FW,iq Iraq,24,2002,2.0,0,6,0,0.0,3.00,0.00,0.00,,0,0,Matches,8450467d
385,Abdullah Al-Hamdan,FW,sa Saudi Arabia,26,1999,0.8,0,2,2,100.0,2.54,2.54,0.00,0.00,0,0,Matches,cc4b5436
386,Mohamed Amine Ben Hamida,DF,tn Tunisia,30,1995,2.2,0,0,0,,0.00,0.00,,,0,0,Matches,2a5e8f82
387,Odiljon Hamrobekov,MF,uz Uzbekistan,30,1996,0.9,0,1,0,0.0,1.17,0.00,0.00,,0,0,Matches,03f63e77
388,Lee Han-beom,DF,kr Korea Republic,23,2002,3.0,0,2,0,0.0,0.67,0.00,0.00,,0,0,Matches,071f2dd3
389,Grant Hanley,DF,sct Scotland,34,1991,2.0,0,0,0,,0.00,0.00,,,0,0,Matches,e9254eec
390,Sontje Hansen,FW,cw Curaçao,24,2002,0.5,0,1,1,100.0,2.00,2.00,0.00,0.00,0,0,Matches,70bad10b
391,Mohamed Hany,DF,eg Egypt,30,1996,5.3,0,4,0,0.0,0.75,0.00,0.00,,0,0,Matches,9bcf1513
392,Moteb Al-Harbi,DF,sa Saudi Arabia,26,2000,2.1,0,0,0,,0.00,0.00,,,0,0,Matches,1d88554c
393,Saleh Hardani,DF,ir IR Iran,27,1998,1.0,0,0,0,,0.00,0.00,,,0,0,Matches,3a9b682b
394,Carlos Harvey,MF,pa Panama,26,2000,3.0,0,5,0,0.0,1.69,0.00,0.00,,0,0,Matches,3f18600c
395,Akam Hashim,DF,iq Iraq,27,1998,3.0,0,1,0,0.0,0.33,0.00,0.00,,0,0,Matches,f8416e89
396,Haissem Hassan,MF,eg Egypt,24,2002,1.4,0,1,0,0.0,0.71,0.00,0.00,,0,0,Matches,e0979e74
397,Jalal Hassan,GK,iq Iraq,35,1991,1.5,0,0,0,,0.00,0.00,,,0,0,Matches,87351c2e
398,Abdulaziz Hatem,MF,qa Qatar,36,1990,0.5,0,0,0,,0.00,0.00,,,0,0,Matches,c5065ef8
399,Jorrel Hato,DF,nl Netherlands,20,2006,0.4,0,0,0,,0.00,0.00,,,0,0,Matches,bde35051
400,Kai Havertz,FW,de Germany,27,1999,3.9,3,12,7,58.3,3.06,1.78,0.25,0.43,1,1,Matches,fed7cb61
401,Hassan Al-Haydos,MF,qa Qatar,35,1990,0.6,1,1,1,100.0,1.58,1.58,1.00,1.00,0,0,Matches,41bd6c64
402,Jan Paul van Hecke,DF,nl Netherlands,26,2000,4.3,1,3,2,66.7,0.69,0.46,0.33,0.50,0,0,Matches,4fd08daa
403,Hwang Hee-chan,FW,kr Korea Republic,30,1996,1.2,0,1,0,0.0,0.83,0.00,0.00,,0,0,Matches,169fd162
404,Torbjørn Heggem,DF,no Norway,27,1999,4.9,0,1,1,100.0,0.20,0.20,0.00,0.00,0,0,Matches,834fea76
405,Alaa Al Hejji,MF,sa Saudi Arabia,30,1995,0.4,0,0,0,,0.00,0.00,,,0,0,Matches,6d258576
406,Dean Henderson,GK,eng England,29,1997,1.0,0,0,0,,0.00,0.00,,,0,0,Matches,e5a76dfe
407,Jordan Henderson,MF,eng England,35,1990,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,935e6b8f
408,Jack Hendry,DF,sct Scotland,31,1995,3.0,0,0,0,,0.00,0.00,,,0,0,Matches,ffed43e3
409,Luiz Henrique,FWMF,br Brazil,25,2001,0.3,0,0,0,,0.00,0.00,,,0,0,Matches,8059806f
410,Theo Hernández,DF,fr France,28,1997,2.9,0,3,0,0.0,1.05,0.00,0.00,,0,0,Matches,d4c9725f
411,Lucas Herrington,DF,au Australia,18,2007,2.3,0,0,0,,0.00,0.00,,,0,0,Matches,6f808c85
412,Son Heung-min,FW,kr Korea Republic,33,1992,1.9,0,7,1,14.3,3.73,0.53,0.00,0.00,0,0,Matches,92e7e919
413,Aaron Hickey,DF,sct Scotland,24,2002,0.8,0,0,0,,0.00,0.00,,,0,0,Matches,1780bb4a
414,Isak Hien,DF,se Sweden,27,1999,2.4,0,0,0,,0.00,0.00,,,0,0,Matches,12806697
415,Piero Hincapié,DF,ec Ecuador,24,2002,3.8,0,3,0,0.0,0.80,0.00,0.00,,0,0,Matches,0c7a48f8
416,Adam Hložek,FW,cz Czechia,23,2002,1.7,0,3,1,33.3,1.73,0.58,0.00,0.00,0,0,Matches,5521f419
417,Tomáš Holeš,DF,cz Czechia,33,1993,1.7,0,0,0,,0.00,0.00,,,0,0,Matches,e03c2d97
418,Amirhossein Hosseinzadeh,FW,ir IR Iran,25,2000,0.2,0,1,0,0.0,5.29,0.00,0.00,,0,0,Matches,47270f0c
419,Robin Hranáč,DF,cz Czechia,26,2000,3.0,0,0,0,,0.00,0.00,,,0,0,Matches,95d5aea2
420,Ajdin Hrustic,MF,au Australia,29,1996,0.9,0,3,0,0.0,3.38,0.00,0.00,,0,0,Matches,1f2d714c
421,César Huerta,FWMF,mx Mexico,25,2000,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,de2f44ce
422,Al-Hashmi Al-Hussain,MF,qa Qatar,22,2003,0.4,0,0,0,,0.00,0.00,,,0,0,Matches,c164fda2
423,Ayman Hussein,FW,iq Iraq,30,1996,1.3,1,3,1,33.3,2.35,0.78,0.33,1.00,0,0,Matches,8b574de7
424,Oh Hyeon-gyu,FW,kr Korea Republic,25,2001,1.4,1,4,2,50.0,2.79,1.40,0.25,0.50,0,0,Matches,d25422fb
425,Yang Hyun-jun,FWMF,kr Korea Republic,24,2002,0.2,0,1,1,100.0,4.50,4.50,0.00,0.00,0,0,Matches,f4cda99f
426,Roger Ibanez,DF,br Brazil,27,1998,0.5,0,0,0,,0.00,0.00,,,0,0,Matches,82efe6fa
427,Yasser Ibrahim,DF,eg Egypt,33,1993,5.2,1,1,1,100.0,0.19,0.19,1.00,1.00,0,0,Matches,0b89ad1b
428,Borja Iglesias,FW,es Spain,33,1993,0.0,0,0,0,,0.00,0.00,,,0,0,Matches,75645f0e
429,Hwang In-beom,MF,kr Korea Republic,29,1996,2.9,1,4,2,50.0,1.37,0.68,0.25,0.50,0,0,Matches,92fa5d28
430,Christ Inao Oulaï,MF,ci Côte d'Ivoire,20,2006,2.3,0,2,0,0.0,0.87,0.00,0.00,,0,0,Matches,62709ee4
431,Zidane Iqbal,MF,iq Iraq,23,2003,2.1,0,0,0,,0.00,0.00,,,0,0,Matches,6fa3c28e
432,Nestory Irankunda,FWMF,au Australia,20,2006,2.9,1,6,2,33.3,2.07,0.69,0.17,0.50,0,0,Matches,4ac730b2
433,Jackson Irvine,MF,au Australia,33,1993,2.5,0,3,1,33.3,1.21,0.40,0.00,0.00,0,0,Matches,4637747c
434,Alexander Isak,FW,se Sweden,26,1999,4.0,1,8,6,75.0,2.02,1.51,0.13,0.17,0,0,Matches,8e92be30
435,Wilson Isidor,FW,ht Haiti,25,2000,2.1,1,5,2,40.0,2.42,0.97,0.20,0.50,0,0,Matches,a671316d
436,Jamshid Iskanderov,FWMF,uz Uzbekistan,32,1993,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,3b8abe7c
437,Zaid Ismail,MF,iq Iraq,24,2002,1.3,0,0,0,,0.00,0.00,,,0,0,Matches,c65effaa
438,Ko Itakura,DF,jp Japan,29,1997,1.4,0,0,0,,0.00,0.00,,,0,0,Matches,97d545ae
439,Jacob Italiano,DF,au Australia,24,2001,1.8,0,1,0,0.0,0.55,0.00,0.00,,0,0,Matches,2eb0ee9a
440,Hiroki Ito,DF,jp Japan,27,1999,4.0,0,1,0,0.0,0.25,0.00,0.00,,0,0,Matches,204dded0
441,Junya Itō,MF,jp Japan,33,1993,2.4,1,3,1,33.3,1.25,0.42,0.33,1.00,0,0,Matches,dbd3a428
442,Cedric Itten,FWMF,ch Switzerland,29,1996,0.5,0,0,0,,0.00,0.00,,,0,0,Matches,ef233486
443,Nicolas Jackson,FW,sn Senegal,24,2001,2.6,0,7,3,42.9,2.69,1.15,0.00,0.00,0,0,Matches,9c36ed83
444,Lee Jae-sung,FW,kr Korea Republic,33,1992,1.3,0,2,1,50.0,1.54,0.77,0.00,0.00,0,0,Matches,34b0387f
445,Alireza Jahanbakhsh,FWMF,ir IR Iran,32,1993,0.5,0,1,0,0.0,1.96,0.00,0.00,,0,0,Matches,08452314
446,Ismail Jakobs,DF,sn Senegal,26,1999,2.4,0,1,0,0.0,0.41,0.00,0.00,,0,0,Matches,a0415710
447,Reece James,DF,eng England,26,1999,3.5,0,1,0,0.0,0.28,0.00,0.00,,0,0,Matches,1265a93a
448,Amer Jamous,MF,jo Jordan,23,2002,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,32d4f1e1
449,Luca Jaquez,DF,ch Switzerland,23,2003,0.9,0,0,0,,0.00,0.00,,,0,0,Matches,a400da8e
450,Ardon Jashari,MF,ch Switzerland,23,2002,0.8,0,2,0,0.0,2.50,0.00,0.00,,0,0,Matches,889588db
451,Ali Jasim,MF,iq Iraq,22,2004,1.4,0,4,1,25.0,2.79,0.70,0.00,0.00,0,0,Matches,1a927a6f
452,Danley Jean-Jacques,MF,ht Haiti,26,2000,2.9,0,0,0,,0.00,0.00,,,0,0,Matches,59fcbd6d
453,Eom Ji-sung,MF,kr Korea Republic,24,2002,0.5,0,0,0,,0.00,0.00,,,0,0,Matches,3a049da1
454,Raúl Jiménez,FW,mx Mexico,35,1991,3.5,3,18,7,38.9,5.11,1.99,0.17,0.43,1,1,Matches,b561db50
455,Kim Jin-gyu,MF,kr Korea Republic,29,1997,0.6,0,1,0,0.0,1.73,0.00,0.00,,0,0,Matches,7c0479b1
456,Park Jinseob,DFMF,kr Korea Republic,30,1995,0.4,0,1,1,100.0,2.81,2.81,0.00,0.00,0,0,Matches,3316967a
457,Ruslanbek Jiyanov,FW,uz Uzbekistan,25,2001,0.0,0,0,0,,0.00,0.00,,,0,0,Matches,3c181746
458,Alistair Johnston,DF,ca Canada,27,1998,5.0,0,5,2,40.0,1.00,0.40,0.00,0.00,0,0,Matches,4fb17e20
459,Frenkie de Jong,MF,nl Netherlands,29,1997,3.6,0,1,0,0.0,0.27,0.00,0.00,,0,0,Matches,1bacc518
460,Lenny Joseph,FW,ht Haiti,25,2000,1.3,0,2,0,0.0,1.54,0.00,0.00,,0,0,Matches,d1828392
461,Edmilson Junior,MFFW,qa Qatar,31,1994,2.3,0,3,2,66.7,1.29,0.86,0.00,0.00,0,0,Matches,620764f4
462,Vinicius Júnior,FW,br Brazil,25,2000,4.9,4,17,11,64.7,3.48,2.25,0.24,0.36,0,0,Matches,7111d552
463,Elijah Just,MF,nz New Zealand,26,2000,2.9,3,7,5,71.4,2.39,1.70,0.43,0.60,0,0,Matches,0c295d6e
464,Musab Al Juwayr,MFFW,sa Saudi Arabia,22,2003,1.7,0,0,0,,0.00,0.00,,,0,0,Matches,62592fc1
465,Ayoub El Kaabi,FW,ma Morocco,32,1993,0.8,0,3,2,66.7,3.91,2.61,0.00,0.00,0,0,Matches,b1bfd1d4
466,Ozan Kabak,DF,tr Türkiye,26,2000,1.0,0,0,0,,0.00,0.00,,,0,0,Matches,2d61d13a
467,Ferdi Kadioglu,DF,tr Türkiye,26,1999,1.8,0,1,0,0.0,0.57,0.00,0.00,,0,0,Matches,66c52a77
468,Kaku,MF,py Paraguay,31,1995,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,cb01ad74
469,Saša Kalajdžić,FW,at Austria,28,1997,0.9,1,4,1,25.0,4.68,1.17,0.25,1.00,0,0,Matches,15f24fe7
470,Gédéon Kalulu,DF,cd Congo DR,28,1997,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,dd211559
471,Daichi Kamada,MF,jp Japan,29,1996,3.7,2,3,2,66.7,0.82,0.55,0.67,1.00,0,0,Matches,15b287da
472,Hossein Kanaanizadegan,DF,ir IR Iran,32,1994,1.5,0,1,1,100.0,0.67,0.67,0.00,0.00,0,0,Matches,24353c25
473,Harry Kane,FW,eng England,32,1993,7.2,6,23,12,52.2,3.17,1.66,0.26,0.50,2,2,Matches,21a66f6a
474,Lee Kang-in,FW,kr Korea Republic,25,2001,3.0,0,4,1,25.0,1.33,0.33,0.00,0.00,0,0,Matches,8455ad90
475,Mohamed Kanno,MF,sa Saudi Arabia,31,1994,2.5,0,3,2,66.7,1.20,0.80,0.00,0.00,0,0,Matches,74ccf212
476,Steve Kapuadi,DF,cd Congo DR,28,1998,2.0,0,1,0,0.0,0.50,0.00,0.00,,0,0,Matches,3f3c941a
477,Bekhruz Karimov,DF,uz Uzbekistan,18,2007,2.0,0,2,0,0.0,1.01,0.00,0.00,,0,0,Matches,74cdaeba
478,Jesper Karlström,MF,se Sweden,30,1995,1.5,0,1,0,0.0,0.65,0.00,0.00,,0,0,Matches,e0a1f4eb
479,Gervane Kastaneer,FWMF,cw Curaçao,30,1996,0.3,0,1,0,0.0,3.00,0.00,0.00,,0,0,Matches,0c142e14
480,Nikola Katić,DF,ba Bosnia–Herz,29,1996,3.5,0,2,0,0.0,0.57,0.00,0.00,,0,0,Matches,35bd124a
481,Edo Kayembe,MF,cd Congo DR,28,1998,1.8,0,2,1,50.0,1.13,0.56,0.00,0.00,0,0,Matches,f99b71de
482,Joris Kayembe,DFFW,cd Congo DR,31,1994,0.5,0,1,0,0.0,2.00,0.00,0.00,,0,0,Matches,4657faba
483,Franck Kessié,MF,ci Côte d'Ivoire,29,1996,3.8,1,4,2,50.0,1.04,0.52,0.25,0.50,0,0,Matches,05e19d6a
484,Abdullah Al-Khaibari,MF,sa Saudi Arabia,29,1996,2.0,0,1,0,0.0,0.50,0.00,0.00,,0,0,Matches,ab47ae1c
485,Shoja' Khalilzadeh,DF,ir IR Iran,37,1989,3.0,0,2,0,0.0,0.67,0.00,0.00,,0,0,Matches,0aed29f1
486,Dostonbek Khamdamov,MF,uz Uzbekistan,29,1996,1.1,0,2,0,0.0,1.75,0.00,0.00,,0,0,Matches,d2dd2ffb
487,Bilal El Khannouss,MFFW,ma Morocco,22,2004,5.1,0,6,4,66.7,1.17,0.78,0.00,0.00,0,0,Matches,f7042636
488,Rani Khedira,MF,tn Tunisia,32,1994,1.7,0,1,0,0.0,0.60,0.00,0.00,,0,0,Matches,59e4b92e
489,Boualem Khoukhi,DF,qa Qatar,35,1990,3.0,1,3,1,33.3,1.00,0.33,0.33,1.00,0,0,Matches,7be5ad52
490,Abdukodir Khusanov,DF,uz Uzbekistan,22,2004,3.0,0,0,0,,0.00,0.00,,,0,0,Matches,d17ce930
491,Joshua Kimmich,DF,de Germany,31,1995,3.9,0,5,1,20.0,1.28,0.26,0.00,0.00,0,0,Matches,49296448
492,Justin Kluivert,FWMF,nl Netherlands,27,1999,0.3,0,0,0,,0.00,0.00,,,0,0,Matches,4c3a6744
493,Gregor Kobel,GK,ch Switzerland,28,1997,6.7,0,0,0,,0.00,0.00,,,0,0,Matches,cd59b9df
