https://fbref.com/en/comps/1/shooting/World-Cup-Stats
,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,-additional
Rk,Player,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,-9999
141,Moïse Bombito,DF,ca Canada,26,2000,2.1,0,1,1,100.0,0.47,0.47,0.00,0.00,0,0,Matches,c2f23fc8
142,Theo Bongonda,FWMF,cd Congo DR,30,1995,0.4,0,1,0,0.0,2.65,0.00,0.00,,0,0,Matches,0da6a13e
143,Ange-Yoan Bonny,FW,ci Côte d'Ivoire,22,2003,2.6,0,1,1,100.0,0.38,0.38,0.00,0.00,0,0,Matches,64629ba4
144,Jordy Bos,MFDF,au Australia,23,2002,3.4,0,5,2,40.0,1.46,0.58,0.00,0.00,0,0,Matches,8070a9fd
145,Ayyoub Bouaddi,MF,ma Morocco,18,2007,4.2,0,3,0,0.0,0.71,0.00,0.00,,0,0,Matches,8006228f
146,Hicham Boudaoui,MF,dz Algeria,26,1999,1.4,0,0,0,,0.00,0.00,,,0,0,Matches,f9d5908e
147,Karim Boudiaf,MF,qa Qatar,35,1990,1.1,0,1,0,0.0,0.88,0.00,0.00,,0,0,Matches,a38f33fd
148,Adil Boulbina,FW,dz Algeria,23,2003,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,12f7f264
149,Yassine Bounou,GK,ma Morocco,35,1991,6.3,0,0,0,,0.00,0.00,,,0,0,Matches,f6798fc3
150,Nawaf Boushal,DF,sa Saudi Arabia,26,1999,1.0,0,0,0,,0.00,0.00,,,0,0,Matches,7dc1c2c6
151,Michael Boxall,DF,nz New Zealand,37,1988,2.3,0,0,0,,0.00,0.00,,,0,0,Matches,6bfa0d3a
152,Sultan Al-Brake,DF,qa Qatar,30,1996,1.6,0,0,0,,0.00,0.00,,,0,0,Matches,fcaa2400
153,Joshua Brenet,DF,cw Curaçao,32,1994,2.0,0,0,0,,0.00,0.00,,,0,0,Matches,2b5527c4
154,Brian Brobbey,FW,nl Netherlands,24,2002,2.5,3,4,3,75.0,1.61,1.21,0.75,1.00,0,0,Matches,4c184730
155,Dylan Bronn,DF,tn Tunisia,30,1995,0.5,0,0,0,,0.00,0.00,,,0,0,Matches,edd81e2a
156,Nathaniel Brown,DF,de Germany,22,2003,3.1,1,3,2,66.7,0.96,0.64,0.33,0.50,0,0,Matches,abc79c47
157,Tajon Buchanan,MF,ca Canada,27,1999,4.2,0,6,3,50.0,1.44,0.72,0.00,0.00,0,0,Matches,3aca6420
158,Ante Budimir,FW,hr Croatia,34,1991,1.7,1,3,1,33.3,1.74,0.58,0.33,1.00,0,0,Matches,8f3565b3
159,Firas Al-Buraikan,FW,sa Saudi Arabia,26,2000,2.6,0,0,0,,0.00,0.00,,,0,0,Matches,ac717a23
160,Cameron Burgess,DF,au Australia,30,1995,1.5,0,0,0,,0.00,0.00,,,0,0,Matches,da61ca98
161,Dan Burn,DF,eng England,34,1992,0.4,0,0,0,,0.00,0.00,,,0,0,Matches,b2d31e83
162,Dženis Burnić,MF,ba Bosnia–Herz,28,1998,0.2,0,1,0,0.0,5.63,0.00,0.00,,0,0,Matches,0dabaf14
163,Gustavo Caballero,FWMF,py Paraguay,24,2001,1.1,0,1,1,100.0,0.94,0.94,0.00,0.00,0,0,Matches,90a38ca7
164,Jovane Cabral,FW,cv Cabo Verde,28,1998,1.5,0,2,0,0.0,1.29,0.00,0.00,,0,0,Matches,e34e086c
165,Liberato Cacace,DF,nz New Zealand,25,2000,2.4,0,1,1,100.0,0.41,0.41,0.00,0.00,0,0,Matches,dd86e8e4
166,Juan Cáceres,DF,py Paraguay,26,2000,4.8,0,2,1,50.0,0.41,0.21,0.00,0.00,0,0,Matches,db887bdf
167,Sebastián Cáceres,DF,uy Uruguay,26,1999,3.0,0,3,0,0.0,1.00,0.00,0.00,,0,0,Matches,7091c68e
168,Jordy Caicedo,FW,ec Ecuador,28,1997,0.2,0,1,0,0.0,4.50,0.00,0.00,,0,0,Matches,7fcb27d8
169,Moisés Caicedo,MF,ec Ecuador,24,2001,4.0,0,4,1,25.0,1.00,0.25,0.00,0.00,0,0,Matches,16264a81
170,Uğurcan Çakır,GK,tr Türkiye,30,1996,3.0,0,0,0,,0.00,0.00,,,0,0,Matches,f63a8347
171,Hakan Çalhanoğlu,MF,tr Türkiye,32,1994,2.0,0,11,2,18.2,5.50,1.00,0.00,0.00,0,0,Matches,cd0fa27b
172,Lamine Camara,MF,sn Senegal,22,2004,2.8,0,3,0,0.0,1.09,0.00,0.00,,0,0,Matches,19c2ffa4
173,Jaminton Campaz,FWMF,co Colombia,26,2000,0.8,1,6,3,50.0,7.20,3.60,0.17,0.33,0,0,Matches,8d5ceef2
174,İrfan Can Kahveci,MF,tr Türkiye,30,1995,0.0,0,0,0,,0.00,0.00,,,0,0,Matches,d2800f47
175,José Canale,DF,py Paraguay,29,1996,1.8,0,0,0,,0.00,0.00,,,0,0,Matches,97d24b73
176,João Cancelo,DF,pt Portugal,32,1994,3.5,0,3,0,0.0,0.87,0.00,0.00,,0,0,Matches,bd6351cd
177,Agustín Canobbio,FW,uy Uruguay,27,1998,2.5,1,4,1,25.0,1.61,0.40,0.25,1.00,0,0,Matches,4f5a2f38
