Player,Squad,Pos,group,Age,MP,Starts,Min,Sh,SoT,sot90
Pavel Šulc,cz Czechia,FW,Striker,25,3,2,189,2,0,0.0
Kamaldeen Sulemana,gh Ghana,MFFW,Forward-Midfielder,24,2,2,127,1,0,0.0
Crysencio Summerville,nl Netherlands,FW,Striker,24,4,2,253,2,2,0.7114624505928854
Musa Al-Taamari,jo Jordan,FW,Striker,29,3,2,215,8,3,1.255813953488372
Ferran Torres,es Spain,FW,Striker,26,8,1,288,14,4,1.25
Mo Touré,au Australia,FW,Striker,22,3,2,165,4,1,0.5454545454545455
Ayase Ueda,jp Japan,FW,Striker,27,4,4,321,9,4,1.1214953271028036
Deniz Undav,de Germany,FW,Striker,29,4,1,151,6,4,2.3841059602649004
Hélio Varela,cv Cabo Verde,FW,Striker,24,3,0,104,3,1,0.8653846153846154
Federico Viñas,uy Uruguay,FW,Striker,27,3,2,192,6,3,1.40625
Elye Wahi,ci Côte d'Ivoire,FW,Striker,23,3,1,110,3,2,1.6363636363636362
Yoane Wissa,cd Congo DR,FW,Striker,29,4,4,360,11,3,0.75
Lamine Yamal,es Spain,MFFW,Forward-Midfielder,18,8,7,614,27,12,1.7589576547231272
Mostafa Ziko,eg Egypt,FWMF,Forward-Midfielder,29,5,5,370,8,3,0.7297297297297298
